"ID","symbol","color","description","manufacturer","glassImage",
"1","100a","clear","clear artique","Spectrum","[object Image]",
"2","100barnwood","clear","clear barnwood","Spectrum","[object Image]",
"3","100c","clear","clear cord","Spectrum","[object Image]",
"4","100cc","clear","clear corsica","Spectrum","[object Image]",
"5","100crackle","clear","clear crackle","Spectrum","[object Image]",
"7","100cz","clear","clear corteza","Spectrum","[object Image]",
"8","100g","clear","clear granite","Spectrum","[object Image]",
"9","100gg","clear","clear crystal ice","Spectrum","[object Image]",
"10","100h","clear","clear hammered","Spectrum","[object Image]",
"11","100hs","clear","clear hammered small","Spectrum","[object Image]",
"12","100k","clear","clear krinkle","Spectrum","[object Image]",
"13","100qr","clear","clear quarter-reed","Spectrum","[object Image]",
"14","100r","clear","clear ripple","Spectrum","[object Image]",
"15","100rr","clear","clear rough rolled","Spectrum","[object Image]",
"16","100rsf","clear","clear ripple","Spectrum","[object Image]",
"17","100rw","clear","clear rainwater","Spectrum","[object Image]",
"18","100seedy","clear","clear seedy","Spectrum","[object Image]",
"19","100v","clear","clear vecchio","Spectrum","[object Image]",
"20","100w","clear","clear waterglass","Spectrum","[object Image]",
"22","110.2a","amber","pale amber artique","Spectrum","[object Image]",
"24","gc","clear","glue chip","Spectrum","[object Image]",
"25","121a","green","light green artique","Spectrum","[object Image]",
"26","121rr","green","light green rough rolled","Spectrum","[object Image]",
"27","121s","green","light green solid transparent","Spectrum","[object Image]",
"28","121sf","green","light green solid transparent","Spectrum","[object Image]",
"29","121w","green","light green waterglass","Spectrum","[object Image]",
"30","823-92s","green","teal green / white, wispy","Spectrum","[object Image]",
"31","123a","green","medium green artique","Spectrum","[object Image]",
"32","123h","green","medium green transparent hammered","Spectrum","[object Image]",
"33","123rr","green","medium green rough rolled","Spectrum","[object Image]",
"34","123s","green","medium green solid transparent","Spectrum","[object Image]",
"35","123sf","green","medium green transparent","Spectrum","[object Image]",
"36","123w","green","medium green waterglass","Spectrum","[object Image]",
"37","125a","green","emerald green artique","Spectrum","[object Image]",
"38","125rr","green","emerald green rough rolled","Spectrum","[object Image]",
"39","125s","green","dark green solid transparent","Spectrum","[object Image]",
"40","125sf","green","dark green solid transparent","Spectrum","[object Image]",
"41","125w","green","dark green waterglass","Spectrum","[object Image]",
"42","220-76s","green","dark green solid opalescent","Spectrum","[object Image]",
"43","325-6s","green","white / dark green","Spectrum","[object Image]",
"44","325-7","green","Unknown","Spectrum",,
"45","327-2s","green","light green / white","Spectrum","[object Image]",
"46","327-6s","green","dark green / white","Spectrum","[object Image]",
"47","523-2rr","green","teal green rough rolled","Spectrum","[object Image]",
"48","523-8rr","green","hunter green rough rolled","Spectrum","[object Image]",
