"ID","quantity","glassWidth","glassLength","glassType","location",
"154","1","24","12","170","19",
"153","1","18","7","196","13",
"719","5","24","48","20","1",
"4","25","24","48","15","10",
"5","2","24","48","9","9",
"9","4","24","48","11","27",
"10","1","24","33","11","27",
"11","1","14","15","11","27",
"12","1","8","21","11","27",
"13","1","8","21","11","27",
"14","1","12","12","24","29",
"15","1","12","24","24","29",
"16","1","15","16","24","29",
"17","1","11","17","24","29",
"18","2","13","16","24","29",
"19","1","19","11","24","29",
"20","1","9","14","24","29",
"21","1","9","13","24","29",
"22","15","24","36","24","29",
"23","1","15","48","15","10",
"24","1","13","45","15","10",
"25","1","24","22","15","10",
"26","1","24","16","15","10",
"27","1","8","25","15","10",
"28","1","8","32","15","10",
"29","5","24","48","3","3",
"30","1","30","36","3","3",
"31","2","14","11","3","3",
"32","125","24","18","19","39",
"33","2","12","12","19","11",
"34","1","8","24","19","11",
"35","1","23","10","19","11",
"36","1","24","23","19","11",
"37","1","19","18","26","18",
"38","1","24","13","26","18",
"39","1","24","33","27","18",
"40","1","24","16","31","18",
"41","1","18","12","31","18",
"42","1","16","16","31","18",
"43","1","24","48","38","18",
"44","1","24","19","38","18",
"45","1","24","48","39","18",
"46","1","24","11","43","18",
"47","1","24","18","44","18",
"48","1","11","12","45","19",
"49","1","16","24","46","18",
"53","1","24","27","58","15",
"54","1","24","30","66","15",
"55","1","24","48","71","15",
"56","1","24","48","120","15",
"57","1","12","48","119","15",
"58","1","24","42","64","15",
"59","1","24","41","66","15",
"60","1","24","38","73","15",
"61","1","24","39","73","15",
"62","1","20","48","106","15",
"63","1","24","31","117","15",
"64","1","24","20","114","15",
"65","1","22","30","68","15",
"66","1","24","32","120","15",
"67","1","13","27","75","15",
"68","1","24","28","69","15",
"589","1","13","23","199","13",
"70","1","12","32","142","15",
"71","1","7","32","143","15",
"72","1","7","36","143","15",
"73","1","12","32","143","15",
"74","1","9","34","143","15",
"75","1","7","34","143","15",
"76","1","21","17","92","17",
"77","1","24","48","144","15",
