"ID","bin",
"1","100w",
"3","100c",
"4","100g",
"5","100h",
"7","100a",
"8","100cc",
"9","100gg",
"10","100rr",
"11","100v",
"12","Amber 1",
"13","amber 2",
"14","amber 3",
"15","blue 1",
"16","blue 2",
"17","blue 3",
"18","Green 1",
"19","green 2",
"20","green 3",
"21","purple 1",
"22","purple 2",
"23","red 1",
"24","red 2",
"25","white/black/grey 1",
"30","100s",
"27","100hs",
"29","gc",
"31","100br",
"33","100g 2",
"34","grey 3",
"35","100k",
"36","amber 4",
"37","amber 5",
"38","white/black/grey 2",
"39","100v 2",
"40","other clear 1",
"41","other clear 2",
"42","yellow",
"43","blue 4",
"44","Gray 4",
